,生育場所,,,,,"花期
（月）",特記,学名,標準和名,記載分布,,,,,,,,
46,,,,,○,6〜8,,Drosera rotundifolia Linn.　,モウセンゴケ,(匹)(吉)(高),ロゼット,卵状円形,腺毛密生,単頂,5,白色,不明,
47,,,,,○（海岸岩場）,5〜7,,Sedum oryzifolium Makino　,タイトゴメ,(海),螺旋状,円柱状倒卵形,全縁,単頂,5,黄色,不明,
48,,,,,○,7〜10,,Saxifraga fortunei Hook. fil. var. incisolobata (Engler et lrmsch.) Nakai,ダイモンジソウ,(匹)(椛),根生,腎円形。掌状浅裂。基部はくさび形または心形,重鋸歯,複集散,5,白色,食・薬,
49,,,,,○,4〜5,,Chrysospleniumfaunae Franch.　,ホクリクネコノメソウ,(横)(津),無葉又は１対を対生,卵形〜楕円形,鈍鋸歯,複散房,無,黄緑,不明,
50,,,,,○,4〜5,,Mitella pauciflora Rosend.　,コチャルメルソウ,(匹)(津),根生,広卵形。５浅裂し基部は心形,粗い鋸歯,穂状・羽状,5,淡褐,不明,
51,,,,,○,4〜5,,Mitella stylosa H. Boiss.　,チャルメルソウ,(高)(匹)(津),根生,広卵形。基部は心形,波状〜粗い鋸歯,穂状・羽状,5,淡褐,不明,
52,,,,,○,8〜9,,"Parnassia foliosa Hook. fil. et Thorns, var.　nummularia (Maxim.) T. Ito",シラヒゲソウ,(匹),根生、互生,円心形,全縁,単頂・糸状・羽,5,白色,不明,
53,,,,,○,8〜10,,Parnassia palustns Linn.,ウメバチソウ,(匹)(津),根生,広卵形。基部は心形,全縁,単頂,5,白色,不明,
54,,,,,○（海岸）,4〜6,,Pittosporum tobira (Thunb.) Ait.　,トベラ,(高)(益)(海),互生,長楕円形,全縁,集散,5,白色,薬,
55,,,,,○,8〜9,,Cassia nomame (Sieb.) Honda　,カワラケツメイ,(高)(津),互生,偶数羽状複葉。小葉は線形で先が尖る,小葉は全縁,葉の付け根に1〜2個,5(非蝶型）,黄色,食・薬,
56,,,,,○砂浜,4〜7,,Lathyrus maritimus (Linn.) BIGL.　,ハマエンドウ,(海),互生,偶数羽状複葉、先端は巻きひげ。小葉は楕円形,小葉は全縁,総状,5(蝶型）,赤紫〜青紫,食,
57,○,○,,,○,通年,,Callitriche verna Linn. ,ミズハコベ,(全),対生,沈水葉は線形。浮葉はへら形〜卵状楕円形,全縁,葉の付け根に1〜2個,無,白色透明,不明,
58,,,,,○,7〜9,,Impatiens noli-tangere Linn.,キツリフネ,(匹),互生,長楕円形。葉先は三角形状,粗い鈍鋸歯,総状（葉腋から斜上）,筒状,黄色,毒,
59,,,,,○,7〜10,,Impatiens textori Miq.,ツリフネソウ,(匹)(津)(横)(吉)(高),互生,菱状楕円形,細鋸歯,総状（葉腋から斜上）,筒状,紅紫色,毒・薬,
60,,,,,○,6〜7,,Actinidia polygama (Sieb. et Zucc.) Maxim.,マタタビ,(匹)(津)(横)(椛)(吉)(高),互生,卵円形。基部は円形まれに浅い心形,細鋸歯,集散花序,5,白色,食・薬,
61,,,,,○,6〜7,,Actinidia arguta (Sieb. et Zucc.) Planch.ex.Miq,サルナシ,(匹)(椛)(吉),互生,広楕円形,棘状の鋸歯,集散花序,5,白色,食,
62,,,,,○（海岸）,11〜12,,Eurya emarginata (Thunb.) Makino　,ハマヒサカキ,(海),互生,倒卵形,低い鋸歯,葉腋に1〜4束生,5・鐘形,淡黄緑色,不明,
63,,,,○,○,8〜9,,Triadenum japonicum (Blume) Makino　,ミズオトギリ,(津),対生,長楕円形,全縁,複集散,5,淡紅色,不明,
64,,,,,○,8〜10,,Hypericum oliganthum Franch. et Savat. ,アゼオトギリ,(全),対生,長楕円形〜倒卵形,全縁,総状,5,黄色,不明,
65,,,,,○,7〜9,,Wikstroemia trichotoma (Thunb.) Makino　,キガンピ,(高),対生,卵状楕円形〜披針形,全縁,穂状,筒状4裂,白色、黄色、淡紅色,不明,
